[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 03:59 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 04:00 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 04:00 PM +07] UserID: 3, Action: Logout, Details: User 1771020498 logged out
[2025-06-26 04:00 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:00 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:00 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:00 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:01 PM +07] UserID: 1, Action: Update, Details: User admin updated fields: {'name': 'Anh Nam', 'cmnd': 'x8fMzOohuyHpoQbVslQQAf+Vv9PnG1Cg', 'diachi': 'rb5J/9Jw4I+yy8LyUSQuw5496aiswQnYJ46arcNZPmg=', 'stk_nganhang': '/0XC6Txd+NyXw+/AHg6zJouzv+K7ZFZpfPfKD7V7bU8=', 'so_bhxh': 'w2vhLs3X7S4gL+3QgHRMB3UnIcKitT8ZuwAmXdZ4rfg='}
[2025-06-26 04:01 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:01 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:01 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:11 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:11 PM +07] UserID: 3, Action: Login, Details: User 1771020498 logged in
[2025-06-26 04:11 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 04:11 PM +07] UserID: 3, Action: Logout, Details: User 1771020498 logged out
[2025-06-26 04:11 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:11 PM +07] UserID: 3, Action: Login, Details: User 1771020498 logged in
[2025-06-26 04:11 PM +07] UserID: 3, Action: View, Details: User 1771020498 viewed their info
[2025-06-26 04:11 PM +07] UserID: 3, Action: Logout, Details: User 1771020498 logged out
[2025-06-26 04:11 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:11 PM +07] UserID: Guest, Action: Access Denied, Details: Attempted to view user 3 without admin verification
[2025-06-26 04:15 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:15 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:15 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:15 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:15 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:15 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:15 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:15 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:15 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:19 PM +07] UserID: 1, Action: Login, Details: User admin logged in
[2025-06-26 04:19 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:19 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:19 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:19 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:19 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:19 PM +07] UserID: 1, Action: Login, Details: User admin logged in
[2025-06-26 04:19 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:19 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:19 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:19 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:19 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:19 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:22 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:22 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-26 04:22 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-26 04:22 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:22 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:22 PM +07] UserID: 1, Action: Login, Details: User admin logged in
[2025-06-26 04:22 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:22 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:22 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-26 04:22 PM +07] UserID: 1, Action: Login, Details: User admin logged in
[2025-06-26 04:22 PM +07] UserID: 1, Action: View, Details: User admin viewed their info
[2025-06-26 04:22 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-26 04:22 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-27 04:30 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-27 04:59 PM +07] UserID: 17, Action: Register, Details: User hoainamgmail registered with encrypted data
[2025-06-27 05:01 PM +07] UserID: 17, Action: Login, Details: User hoainamgmail logged in
[2025-06-27 05:01 PM +07] UserID: 17, Action: View, Details: User hoainamgmail viewed their info
[2025-06-27 05:10 PM +07] UserID: 17, Action: Update, Details: User hoainamgmail updated fields: {'name': 'HOAINAM', 'cmnd': '+LsQk3n6daxSIJuH50QliwDmQ0xq37Nx', 'diachi': 'Z6TViDTZq0+gg6b6lyLC6lKl/lqlBrKC/+fQaunTbKQ=', 'stk_nganhang': 'dMGHfACOmZsZhGEVdAXNWXSjLSAGTHBmqse8fWkFrvk=', 'so_bhxh': 'fdJEDICRjWT0gHEMEg2wgB3/a8skWdfsrAeNns3Ip8g='}
[2025-06-27 05:10 PM +07] UserID: 17, Action: View, Details: User hoainamgmail viewed their info
[2025-06-27 05:11 PM +07] UserID: 17, Action: Logout, Details: User hoainamgmail logged out
[2025-06-27 05:11 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
[2025-06-27 05:11 PM +07] UserID: 1, Action: Admin Login, Details: Admin logged in
[2025-06-27 05:11 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed user list
[2025-06-27 05:13 PM +07] UserID: Admin, Action: Admin View, Details: Admin viewed sensitive data of user hoainamgmail
[2025-06-27 05:14 PM +07] UserID: 1, Action: Logout, Details: User admin logged out
[2025-06-27 05:14 PM +07] UserID: Guest, Action: Access, Details: Accessed homepage
